"COR_SORTIMENTO";"CODIGO_VELHO";"DESCRICAO"
"000000";"00";"00"
"000001";"01";"01"
"000002";"02";"02"
"000003";"03";"03"
"000004";"04";"04"
"000005";"05";"05"
"000006";"06";"06"
"000007";"07";"07"
"000008";"08";"08"
"000009";"09";"09"
"000010";"10";"10"
"000011";"11";"11"
"000012";"12";"12"
"000013";"13";"13"
"000014";"14";"14"
"000015";"15";"15"
"000016";"16";"16"
"000017";"17";"17"
"000018";"18";"18"
"000019";"19";"19"
"000020";"20";"20"
"000021";"21";"21"
"000022";"22";"22"
"000023";"23";"23"
"000024";"24";"24"
"000025";"25";"25"
"000026";"26";"26"
"000027";"27";"27"
"000028";"28";"28"
"000029";"29";"29"
"000030";"30";"30"
"000031";"31";"31"
"000032";"32";"32"
"000033";"33";"33"
"000034";"34";"34"
"000035";"35";"35"
"000036";"36";"36"
"000037";"37";"37"
"000038";"38";"38"
"000039";"39";"39"
"000040";"40";"40"
"000041";"41";"41"
"000042";"42";"42"
"000043";"43";"43"
"000044";"44";"44"
"000045";"45";"45"
"000046";"46";"46"
"000047";"47";"47"
"000048";"48";"48"
"000049";"49";"49"
"000050";"50";"50"
"BR0001";"BR";"BRANCO"
"CH0001";"CH";"CHAMPAGNE"
"AC0001";"AC";"AZUL CLARO"
"AM0001";"AM";"AMARELO"
"AV0001";"AV";"AMARELO COM VERDE"
"AZ0001";"AZ";"AZUL"
"BA0001";"BA";"BRANCO COM AZUL"
"BM0001";"BM";"BRANCO COM MARINHO"
"BV0001";"BV";"BRANCO COM VERMELHO"
"CA0001";"CA";"CARBONO"
"CB0001";"CB";"CHUMBO"
"CM0001";"CM";"CINZA COM MARINHO"
"CZ0001";"CZ";"CINZA"
"FE0001";"FE";"FERRUGEM"
"GC0001";"GC";"GRENA CLARO"
"GR0001";"GR";"GRENA"
"MA0001";"MA";"MARINHO"
"ME0001";"ME";"MESCLA"
"MO0001";"MO";"MOSTARDA"
"MR0001";"MR";"MARROM"
"PR0001";"PR";"PRETO"
"PT0001";"PT";"PRETO"
"VA0001";"VA";"VERMELHO COM AZUL"
"VI0001";"VI";"VINHO"
"VR0001";"VR";"VERDE"
"RO0001";"RO";"ROYAL"
"AR0001";"AR";"AREIA"
"PE0001";"PE";"PETROLEO"
"MG0001";"MG";"MAGENTA"
"BE0001";"BE";"BEGE"
"VM0001";"VM";"VERDE MILITAR"
"CE0001";"CE";"CEREJA"
"LA0001";"LA";"LARANJA"
"LI0001";"LI";"LIMAO"
"VE0001";"VE";"VERMELHO"
"PA0001";"PA";"PRETO COM AZUL"
"PV0001";"PV";"PRETO COM FLUOR"
"MC0001";"MC";"MESCLA C/ AZUL CLARO"
"MV0001";"MV";"MESCLA COM VERMELHO"
"BG0001";"BG";"BRANCO COM MAGENTA"
"BC0001";"BC";"BRANCO C/ AZUL CLARO"
"PD0001";"PD";"PRETO COM VERDE"
"BD0001";"BD";"BRANCO COM VERDE"
"GE0001";"GE";"GELO"
"BO0001";"BO";"BORDEAUX"
"VF0001";"VF";"VERDE FLUOR"
"CO0001";"CO";"CORAL"
"AT0001";"AT";"AZUL TURQUESA"
"VB0001";"VB";"VERDE BANDEIRA"
"RX0001";"RX";"ROXO"
"PM0001";"PM";"PRETO COM AMARELO"
"AB0001";"AB";"AMARELO BABY"
"RS0001";"RS";"ROSA"
"RP0001";"RP";"ROSA PINK"
"VD0001";"VD";"VERDE VERDUM"
"VG0001";"VG";"VERDE GUCCI"
"VT0001";"VT";"VERDE TRITAO"
"PU0001";"PU";"PURPLE"
"VP0001";"VP";"VERDE PINEWOOD"
"CQ0001";"CQ";"CAQUI"
"AJ0001";"AJ";"AZUL JEANS"
"AP0001";"AP";"AZUL PICASSO"
"S00001";"S";"TORCAO S"
"Z00001";"Z";"TORCAO Z"
