"REF";"COR";"TAM";"EAN"
"706B";"BR";"EG";"7896896243866"
"706B";"BR";"G" ;"7896896248069"
"706B";"BR";"GG";"7896896248076"
"706B";"BR";"M" ;"7896896248052"
"706B";"BR";"P" ;"7896896248045"
"706B";"CB";"EG";"7896896243866"
"706B";"CB";"G" ;"7896896248069"
"706B";"CB";"GG";"7896896248076"
"706B";"CB";"M" ;"7896896248052"
"706B";"CB";"P" ;"7896896248045"
"706B";"CH";"EG";"7896896243866"
"706B";"CH";"G" ;"7896896248069"
"706B";"CH";"GG";"7896896248076"
"706B";"CH";"M" ;"7896896248052"
"706B";"CH";"P" ;"7896896248045"
"706B";"MA";"EG";"7896896243866"
"706B";"MA";"G" ;"7896896248069"
"706B";"MA";"GG";"7896896248076"
"706B";"MA";"M" ;"7896896248052"
"706B";"MA";"P" ;"7896896248045"
"706B";"VI";"EG";"7896896243866"
"706B";"VI";"G" ;"7896896248069"
"706B";"VI";"GG";"7896896248076"
"706B";"VI";"M" ;"7896896248052"
"706B";"VI";"P" ;"7896896248045"
"717B";"BR";"G" ;"7896896205925"
"717B";"BR";"GG";"7896896205833"
"717B";"BR";"M" ;"7896896205932"
"717B";"BR";"P" ;"7896896205949"
"5156";"BC";"G" ;"7899618805342"
"5156";"BC";"GG";"7899618805359"
"5156";"BC";"M" ;"7899618805335"
"5156";"BC";"P" ;"7899618805328"
"5156";"BR";"G" ;"7899618805342"
"5156";"BR";"GG";"7899618805359"
"5156";"BR";"M" ;"7899618805335"
"5156";"BR";"P" ;"7899618805328"
"5156";"ME";"G" ;"7899618805342"
"5156";"ME";"GG";"7899618805359"
"5156";"ME";"M" ;"7899618805335"
"5156";"ME";"P" ;"7899618805328"
"5156";"PR";"G" ;"7899618805342"
"5156";"PR";"GG";"7899618805359"
"5156";"PR";"M" ;"7899618805335"
"5156";"PR";"P" ;"7899618805328"
