"REF";"COR";"TAM";"EAN"
"0684H";"AZ";"P";7899618806301
"0684H";"AZ";"M";7899618806318
"0684H";"AZ";"G";7899618806325
"0684H";"AZ";"GG";7899618806332
"2156H";"BR";"P";7896896221031
"2156H";"BR";"M";7896896221048
"2156H";"BR";"G";7896896221055
"2156H";"BR";"GG";7896896221437
"0258H";"BR";"P";7899618824213
"0258H";"BR";"M";7899618824220
"0258H";"BR";"G";7899618824237
"0258H";"BR";"GG";7899618824244
"0259H";"BR";"P";7899618824954
"0259H";"BR";"M";7899618824961
"0259H";"BR";"G";7899618824978
"0259H";"BR";"GG";7899618824985
"0457H";"BR";"P";7896896222151
"0457H";"BR";"M";7896896222168
"0457H";"BR";"G";7896896222175
"0457H";"BR";"GG";7896896222182
"0640H";"BR";"P";9000007227562
"0640H";"BR";"M";9000007227579
"0640H";"BR";"G";9000007227586
"0640H";"BR";"GG";9000007227593
"0681H";"BR";"P";9000005114253
"0681H";"BR";"M";9000005114260
"0681H";"BR";"G";9000005114277
"0681H";"BR";"GG";9000005114284
"2156H";"CZ";"P";7896896221031
"2156H";"CZ";"M";7896896221048
"2156H";"CZ";"G";7896896221055
"2156H";"CZ";"GG";7896896221437
"0679H";"CZ";"P";7899618828785
"0679H";"CZ";"M";7899618828792
"0679H";"CZ";"G";7899618828808
"0679H";"CZ";"GG";7899618828815
"05156";"MA";"P";7899618819080
"05651";"MA";"M";7899618819097
"05651";"MA";"P";7899618819080
"05651";"MA";"G";7899618819103
"05651";"MA";"GG";7899618819104
"0640H";"MA";"P";9000007227449
"0640H";"MA";"M";9000007227456
"0640H";"MA";"G";9000007227463
"0640H";"MA";"GG";9000007227470
"0644H";"MA";"P";7899618808817
"0644H";"MA";"M";7899618808800
"0644H";"MA";"G";7899618808794
"0644H";"MA";"GG";7899618808787
"0679H";"MA";"P";7896896272675
"0679H";"MA";"M";7896896272880
"0679H";"MA";"G";7896896272897
"0679H";"MA";"GG";7896896272903
"0259H";"PE";"P";7899618825036
"0259H";"PE";"M";7899618825043
"0259H";"PE";"G";7899618825050
"0259H";"PE";"GG";7899618825067
"00861";"PR";"P";7899618826293
"00861";"PR";"M";7899618826309
"00861";"PR";"G";7899618826316
"00861";"PR";"GG";7899618826323
"0258H";"PR";"P";7899618824299
"0258H";"PR";"M";7899618824305
"0258H";"PR";"G";7899618824312
"0258H";"PR";"GG";7899618824329
"0259H";"PR";"P";7899618824992
"0259H";"PR";"M";7899618825005
"0259H";"PR";"G";7899618825012
"0259H";"PR";"GG";7899618825029
"0640H";"PR";"P";9000007227401
"0640H";"PR";"M";9000007227418
"0640H";"PR";"G";9000007227425
"0640H";"PR";"GG";9000007227432
"0644H";"PR";"P";7899618808770
"0644H";"PR";"M";7899618808763
"0644H";"PR";"G";7899618808756
"0644H";"PR";"GG";7899618808749
"0679H";"PR";"P";7896896272910
"0679H";"PR";"M";7896896273009
"0679H";"PR";"G";7896896273016
"0679H";"PR";"GG";7896896273023
"0679H";"VA";"P";7899618821892
"0679H";"VA";"M";7899618821908
"0679H";"VA";"G";7899618821915
"0679H";"VA";"GG";7899618821922
"0640H";"VB";"P";9000007227524
"0640H";"VB";"M";9000007227531
"0640H";"VB";"G";9000007227548
"0640H";"VB";"GG";9000007227555
"0420H";"VE";"P";9000006622290
"0420H";"VE";"M";9000006622306
"0420H";"VE";"G";9000006622313
"0420H";"VE";"GG";9000006622320
"0640H";"VE";"P";9000007227487
"0640H";"VE";"M";9000007227494
"0640H";"VE";"G";9000007227500
"0640H";"VE";"GG";9000007227517
"5331F";"PR";"P";7896896202481
"5331F";"PR";"M";7896896202474
"5331F";"PR";"G";7896896202467
"5331F";"PR";"GG";7896896202450
"5331E";"MA";"P";7896896202245
"5331E";"MA";"M";7896896202238
"5331E";"MA";"G";7896896202221
"5331E";"MA";"GG";7896896202214
"5331G";"ME";"P"; 7896896202528
"5331G";"ME";"M"; 7896896202511
"5331G";"ME";"G"; 7896896202504
"5331G";"ME";"GG";7896896202498
