"REF";"TAM";"EAN"
"5156";"P";7899618805328
"5156";"M";7899618805335
"5156";"G";7899618805342
"5156";"GG";7899618805359
"5598";"P";7896896222205
"5598";"M";7896896222212
"5598";"G";7896896222229
"5598";"GG";7896896222236
"5599";"P";7899618825128
"5599";"M";7899618825135
"5599";"G";7899618825142
"5599";"GG";7899618825159
"2156H";"P";7896896221031
"2156H";"M";7896896221048
"2156H";"G";7896896221055
"2156H";"GG";7896896221437
"5156H";"P";7899618805328
"5156H";"M";7899618805335
"5156H";"G";7899618805342
"5156H";"GG";7899618805359
"619B";"P";7899618804680
"619B";"M";7899618804697
"619B";"G";7899618804703
"619B";"GG";7899618804710
"619H";"P";7899618804680
"619H";"M";7899618804697
"619H";"G";7899618804703
"619H";"GG";7899618804710
"620H";"P";7896896209299
"620H";"M";7896896209305
"620H";"G";7896896209312
"620H";"GG";7896896209329
