"REF";"COR";"TAM";"EAN"
"643B";"PR";"P";7896896217003
"693B";"VD";"P";7896896226241
"640B";"MA";"P";7896896230965
"640B";"PR";"P";7896896231139
"665B";"PR";"P";7896896246171
"156E";"ME";"P";7896896256828
"156E";"ME";"M";7896896256835
"156E";"ME";"G";7896896256842
"156E";"ME";"GG";7896896256859
"156E";"PR";"P";7896896256866
"156E";"PR";"M";7896896256873
"156E";"PR";"G";7896896256910
"156E";"PR";"GG";7896896256927
"5435";"BR";"P";7896896271739
"5435";"BR";"M";7896896271753
"5435";"BR";"G";7896896271777
"5435";"BR";"GG";7896896271778
"254E";"PR";"P";7896896285453
"254E";"PR";"M";7896896285460
"254E";"PR";"G";7896896285477
"254E";"PR";"GG";7896896285484
"254E";"ME";"GG";7896896289338
"254E";"ME";"G";7896896289345
"254E";"ME";"M";7896896289352
"254E";"ME";"P";7896896289369
"417E";"MA";"P";7899618808626
"417E";"MA";"M";7899618808633
"417E";"MA";"G";7899618808640
"417E";"MA";"GG";7899618808657
"417E";"PR";"P";7899618808701
"417E";"PR";"M";7899618808718
"417E";"PR";"G";7899618808725
"417E";"PR";"GG";7899618808732
"156E";"AJ";"P";7899618809081
"156E";"AJ";"M";7899618809098
"156E";"AJ";"G";7899618809104
"156E";"AJ";"GG";7899618809111
"417E";"VE";"P";7899618809241
"417E";"VE";"M";7899618809258
"417E";"VE";"G";7899618809265
"417E";"VE";"GG";7899618809272
"156E";"VE";"P";7899618810773
"156E";"VE";"M";7899618810780
"156E";"VE";"G";7899618810797
"156E";"VE";"GG";7899618810803
"435E";"BR";"P";7899618813095
"435E";"BR";"M";7899618813101
"435E";"BR";"G";7899618813118
"435E";"BR";"GG";7899618813125
"435E";"ME";"P";7899618813255
"435E";"ME";"M";7899618813262
"435E";"ME";"G";7899618813279
"435E";"ME";"GG";7899618813286
"620";"BR";"GG";7899618819677
"693B";"MA";"P";7899618823360
"699B";"AZ";"P";7899618824374
"156X";"BR";"P";27896896256791
"156X";"BR";"M";27896896256792
"156X";"BR";"G";27896896256808
"156X";"BR";"GG";27896896256815
"156X";"ME";"P";27896896256838
"156X";"ME";"M";27896896256839
"156X";"ME";"G";27896896256846
"156X";"ME";"GG";27896896256853
"156X";"PR";"P";27896896256876
"156X";"PR";"M";27896896256877
"156X";"PR";"G";27896896256914
"156X";"PR";"GG";27896896256921
"417X";"MA";"M";27899618808637
"417X";"MA";"P";27899618808638
"417X";"MA";"G";27899618808644
"417X";"MA";"GG";27899618808651
"417X";"PR";"P";27899618808705
"417X";"PR";"M";27899618808712
"417X";"PR";"G";27899618808729
"417X";"PR";"GG";27899618808736
"417X";"VE";"P";27899618809251
"417X";"VE";"M";27899618809252
"417X";"VE";"G";27899618809269
"417X";"VE";"GG";27899618809276
