"REF";"TAM";"EAN"
"00543";"GG";7896896205437
"00543";"P";7896896205437
"0717E";"GG";7896896205833
"0717E";"G";7896896205925
"0717E";"M";7896896205932
"0717E";"P";7896896205949
"00717";"GG";7896896205956
"00717";"P";7896896205956
"00156";"GG";7896896256743
"00156";"P";7896896256743
"06027";"G";7896896286115
"06027";"GG";7896896286115
"06027";"M";7896896286115
"06027";"P";7896896286115
"501MC";"P";7898082050586
"601MC";"P";7898082050647
"05156";"GG";7899618805311
"05156";"P";7899618805311
"5156E";"P";7899618805328
"5156E";"M";7899618805335
"5156E";"G";7899618805342
"5156E";"GG";7899618805359
"00417";"GG";7899618808534
"00417";"P";7899618808534
"00620";"G";7899618809289
"00620";"GG";7899618809289
"00620";"M";7899618809289
"00620";"P";7899618809289
"0620E";"P";7899618809296
"0620E";"M";7899618809302
"0620E";"G";7899618809319
"0620E";"GG";7899618809326
