"especie";"conta_de_estoque"
"ACUCAR";22
"AGUA";22
"AGULHAS";33
"ALARME";21
"ALUMINIO";34
"BALA";22
"BEBEDOURO";34
"BOBINA";28
"BOXER";13
"CABIDE";21
"CADARCO";21
"CAFE";22
"CAIXA";28
"CAMISA";13
"CAMISAS";13
"CARTELA";21
"CARTUCHOS";26
"COMPRESSOR";34
"CONSOLIDAD";28
"COPO";22
"COTTON";35
"COZINHA";22
"CUECA";13
"ELASTICO";21
"ELETRICA";34
"ELETRONICA";23
"ELEVADOR";34
"EMBALAGEM";21
"ENVELOPE";31
"ESTAMPA";21
"ETIQUETA";21
"FANIPIM";21
"FERRAGENS";34
"FERRO";34
"FIO";24
"FIOS";24
"FIOS S/C";24
"FITA";28
"FORRO";35
"GRAMPO";21
"HIGIENE";25
"IMPRESSORA";26
"INFORMATIC";26
"LEITOR";26
"LIMPEZA";25
"LINHA";21
"LONAS";34
"LYCRA";35
"MADEIRA";34
"MAIO";13
"MALHA";35
"MICROFIBRA";35
"OLEO";33
"PALETEIRA";34
"PALETEIRAS";34
"PAPEL";31
"PAPELARIA";31
"PIJAMA";10
"POLIESTER";35
"PORTA";34
"REVISTA";31
"REVISTAS";31
"RIBANA";35
"RIBBON";28
"ROLAMENTO";33
"SABAO";25
"SACO";28
"SACOS";28
"SLIP";13
"SOFTCOTTON";35
"SUNGA";13
"SUNGAO";13
"TAG";21
"TALAO";31
"TECELAGEM";33
"TECIDO";35
"TELEFONE";34
"TINTA";34
"TINTAS";34
"TOALHA";25
"TOUCA";25
"TRANSFER";21
"TRANSFORMD";34
"TUBO";34
"VENTILADOR";34
"VISCOSE";35
"VISCOSOFT";35
"ZIPER";21
