"ORIGEM";"DESTINO"
"M0103";00103
"M0104";00104
"M0110";00110
"M0111";00111
"M0156";00156
"M0204";00204
"M0254";00254
"M0256";00256
"M0257";00257
"M0258";00258
"M0259";00259
"M0260";00260
"M0261";00261
"M0262";00262
"M0263";00263
"M0266";00266
"M0268";00268
"M0269";00269
"M0304";00304
"M0357";00357
"M0417";00417
"M0455";00455
"M0456";00456
"M0458";00458
"M0460";00460
"M0461";00461
"M0543";00543
"M0613";00613
"M0617";00617
"M0619";00619
"M0620";00620
"M0640";00640
"M0643";00643
"M0644";00644
"M0646";00646
"M0648";00648
"M0665";00665
"M0680";00680
"M0681";00681
"M0684";00684
"M0687";00687
"M0692";00692
"M0706";00706
"M0717";00717
"M0725";00725
"M0861";00861
"M0982";00982
"M101R";"0101R"
"M1101";01101
"M110G";"0110G"
"M110J";"0110J"
"M110S";"0110S"
"M110U";"0110U"
"M1110";01110
"M111G";"0111G"
"M1556";01556
"M156B";"0156B"
"M156E";"0156E"
"M156J";"0156J"
"M156L";"0156L"
"M156M";"0156M"
"M156R";"0156R"
"M156S";"0156S"
"M156U";"0156U"
"M156X";"0156X"
"M2156";02156
"M223L";"0223L"
"M223X";"0223X"
"M2254";02254
"M2256";02256
"M2257";02257
"M226R";"0226R"
"M228R";"0228R"
"M254E";"0254E"
"M254F";"0254F"
"M254J";"0254J"
"M254U";"0254U"
"M254X";"0254X"
"M2556";02556
"M256H";"0256H"
"M256R";"0256R"
"M256U";"0256U"
"M257H";"0257H"
"M257J";"0257J"
"M257L";"0257L"
"M257R";"0257R"
"M258H";"0258H"
"M258M";"0258M"
"M258U";"0258U"
"M259H";"0259H"
"M259J";"0259J"
"M259R";"0259R"
"M259S";"0259S"
"M259U";"0259U"
"M261H";"0261H"
"M263H";"0263H"
"M266H";"0266H"
"M268H";"0268H"
"M304J";"0304J"
"M3860";03860
"M3866";03866
"M386F";"0386F"
"M4139";04139
"M4141";04141
"M4143";04143
"M4144";04144
"M4148";04148
"M4149";04149
"M4151";04151
"M4177";04177
"M417E";"0417E"
"M417I";"0417I"
"M417J";"0417J"
"M417L";"0417L"
"M417M";"0417M"
"M417R";"0417R"
"M417S";"0417S"
"M417U";"0417U"
"M420H";"0420H"
"M420R";"0420R"
"M4247";04247
"M4282";04282
"M4283";04283
"M4284";04284
"M4286";04286
"M4309";04309
"M4310";04310
"M4311";04311
"M4312";04312
"M4313";04313
"M4314";04314
"M435E";"0435E"
"M457H";"0457H"
"M458R";"0458R"
"M491X";"0491X"
"M5120";05120
"M5156";05156
"M5200";05200
"M5331";05331
"M543B";"0543B"
"M5536";05536
"M5647";05647
"M5651";05651
"M5731";05731
"M5735";05735
"M5738";05738
"M5739";05739
"M5740";05740
"M5741";05741
"M5742";05742
"M5743";05743
"M5745";05745
"M5746";05746
"M5747";05747
"M5748";05748
"M6025";06025
"M6027";06027
"M6030";06030
"M6160";06160
"M6162";06162
"M617B";"0617B"
"M617L";"0617L"
"M619B";"0619B"
"M619R";"0619R"
"M620H";"0620H"
"M620I";"0620I"
"M620J";"0620J"
"M620L";"0620L"
"M620M";"0620M"
"M620R";"0620R"
"M620S";"0620S"
"M620U";"0620U"
"M640A";"0640A"
"M640B";"0640B"
"M640H";"0640H"
"M640L";"0640L"
"M643B";"0643B"
"M643L";"0643L"
"M644H";"0644H"
"M644R";"0644R"
"M646H";"0646H"
"M648L";"0648L"
"M648R";"0648R"
"M665U";"0665U"
"M678A";"0678A"
"M678H";"0678H"
"M678L";"0678L"
"M679A";"0679A"
"M679H";"0679H"
"M679L";"0679L"
"M680A";"0680A"
"M680H";"0680H"
"M681L";"0681L"
"M684H";"0684H"
"M687U";"0687U"
"M691L";"0691L"
"M693B";"0693B"
"M693L";"0693L"
"M693U";"0693U"
"M695L";"0695L"
"M696H";"0696H"
"M697H";"0697H"
"M699B";"0699B"
"M706B";"0706B"
"M717B";"0717B"
"M717E";"0717E"
"M717M";"0717M"
"M717R";"0717R"
"M717U";"0717U"
"M725L";"0725L"
"M725U";"0725U"
"M743L";"0743L"
"M747L";"0747L"
"N10AC";"110AC"
"N10BF";"110BF"
"N558H";"1558H"
"N56AC";"156AC"
"N56BB";"156BB"
"N56SC";"156SC"
"P156J";"2156J"
"P156R";"2156R"
"P56AC";"256AC"
"N57AC";"257AC"
"N58AC";"258AC"
"N59AC";"259AC"
"N59LA";"259LA"
"N19RD";"319RD"
"N86RD";"386RD"
"N17AC";"417AC"
"N17LL";"417LL"
"N17RD";"417RD"
"N216H";"4216H"
"N244H";"4244H"
"N120B";"5120B"
"N156D";"5156D"
"P156E";"5156E"
"N156H";"5156H"
"Q156J";"5156J"
"P156L";"5156L"
"P156M";"5156M"
"Q156R";"5156R"
"P156U";"5156U"
"N20RD";"520RD"
"N331A";"5331A"
"N331B";"5331B"
"N331C";"5331C"
"N331D";"5331D"
"N331E";"5331E"
"N331F";"5331F"
"N331G";"5331G"
"P617B";"5617B"
"N027G";"6027G"
"N027I";"6027I"
"N027L";"6027L"
"N027S";"6027S"
"N17DF";"617DF"
"N19DF";"619DF"
"N20DF";"620DF"
"N977B";"6977B"
"N17JA";"717JA"
"N17JC";"717JC"
"N17JD";"717JD"
"N17JE";"717JE"
"N17JF";"717JF"
"N17JJ";"717JJ"
