"REF";"COR";"TAM";"REF_CLIENTE"
"101R";"ME";"G";540935544
"101R";"ME";"GG";540935552
"101R";"ME";"M";540935536
"101R";"ME";"P";540935528
"156R";"MA";"G";533647077
"156R";"MA";"GG";533647131
"156R";"MA";"M";533646015
"156R";"MA";"P";533645952
"225R";"AM";"G";539280659
"225R";"AM";"GG";539280667
"225R";"AM";"M";539280641
"225R";"AM";"P";539280632
"225R";"BR";"G";539275964
"225R";"BR";"GG";539275972
"225R";"BR";"M";539275956
"225R";"BR";"P";539275948
"225R";"VE";"G";539280712
"225R";"VE";"GG";539280721
"225R";"VE";"M";539280704
"225R";"VE";"P";539270691
"226R";"AM";"G";541207864
"226R";"AM";"GG";541207872
"226R";"AM";"M";541207856
"226R";"AM";"P";541207848
"226R";"BR";"G";541208226
"226R";"BR";"GG";541208234
"226R";"BR";"M";541208218
"226R";"BR";"P";541208200
"226R";"VE";"G";541208154
"226R";"VE";"GG";541208162
"226R";"VE";"M";541208146
"226R";"VE";"P";541208138
"228R";"AM";"G";541208293
"228R";"AM";"GG";541208306
"228R";"AM";"M";541208285
"228R";"AM";"P";541208277
"228R";"BR";"G";541210481
"228R";"BR";"GG";541210502
"228R";"BR";"M";541210473
"228R";"BR";"P";541210457
"228R";"VE";"G";541210385
"228R";"VE";"GG";541210406
"228R";"VE";"M";541208357
"228R";"VE";"P";541208349
"254R";"BR";"G";537220530
"254R";"BR";"GG";520468133
"254R";"BR";"M";537220521
"254R";"BR";"P";537220513
"254R";"PR";"G";520516828
"254R";"PR";"GG";520516836
"254R";"PR";"M";520516844
"254R";"PR";"P";520517003
"257R";"AZ";"G";539280771
"257R";"AZ";"GG";539280780
"257R";"AZ";"M";539280763
"257R";"AZ";"P";539280755
"257R";"BR";"G";539742577
"257R";"BR";"GG";539742585
"257R";"BR";"M";539742593
"257R";"BR";"P";539742606
"257R";"MA";"G";537743568
"257R";"MA";"GG";537743584
"257R";"MA";"M";537743541
"257R";"MA";"P";537743517
"257R";"PE";"G";539773761
"257R";"PE";"GG";539773779
"257R";"PE";"M";539773787
"257R";"PE";"P";539773795
"257R";"PR";"G";539742500
"257R";"PR";"GG";539742518
"257R";"PR";"M";539742526
"257R";"PR";"P";539742534
"257R";"VD";"G";539280835
"257R";"VD";"GG";539280843
"257R";"VD";"M";539280827
"257R";"VD";"P";539280819
"259R";"BR";"G";540745767
"259R";"BR";"GG";540745775
