"ORIGEM";"DESTINO"
"M10AC";"C10AC"
"M10BF";"C10BF"
"M558H";"C558H"
"M56AC";"C56AC"
"M56BB";"C56BB"
"M56SC";"C56SC"
"N156J";"D156J"
"N156R";"D156R"
"N56AC";"D56AC"
"M57AC";"C57AC"
"M58AC";"C58AC"
"M59AC";"C59AC"
"M59LA";"C59LA"
"M19RD";"C19RD"
"M86RD";"C86RD"
"M17AC";"C17AC"
"M17LL";"C17LL"
"M17RD";"C17RD"
"M216H";"C216H"
"M244H";"C244H"
"M120B";"C120B"
"M156D";"C156D"
"N156E";"D156E"
"M156H";"C156H"
"P156J";"E156J"
"N156L";"D156L"
"N156M";"D156M"
"P156R";"E156R"
"N156U";"D156U"
"M20RD";"C20RD"
"M331A";"C331A"
"M331B";"C331B"
"M331C";"C331C"
"M331D";"C331D"
"M331E";"C331E"
"M331F";"C331F"
"M331G";"C331G"
"N617B";"D617B"
"M027G";"C027G"
"M027I";"C027I"
"M027L";"C027L"
"M027S";"C027S"
"M17DF";"C17DF"
"M19DF";"C19DF"
"M20DF";"C20DF"
"M977B";"C977B"
"M17JA";"C17JA"
"M17JC";"C17JC"
"M17JD";"C17JD"
"M17JE";"C17JE"
"M17JF";"C17JF"
"M17JJ";"C17JJ"
