"ORIGEM";"DESTINO"
"M10AC";"R10AC"
"M10BF";"R10BF"
"M558H";"R558H"
"M56AC";"R56AC"
"M56BB";"R56BB"
"M56SC";"R56SC"
"N156J";"S156J"
"N156R";"S156R"
"N56AC";"S56AC"
"M57AC";"R57AC"
"M58AC";"R58AC"
"M59AC";"R59AC"
"M59LA";"R59LA"
"M19RD";"R19RD"
"M86RD";"R86RD"
"M17AC";"R17AC"
"M17LL";"R17LL"
"M17RD";"R17RD"
"M216H";"R216H"
"M244H";"R244H"
"M120B";"R120B"
"M156D";"R156D"
"N156E";"S156E"
"M156H";"R156H"
"P156J";"T156J"
"N156L";"S156L"
"N156M";"S156M"
"P156R";"T156R"
"N156U";"S156U"
"M20RD";"R20RD"
"M331A";"R331A"
"M331B";"R331B"
"M331C";"R331C"
"M331D";"R331D"
"M331E";"R331E"
"M331F";"R331F"
"M331G";"R331G"
"N617B";"S617B"
"M027G";"R027G"
"M027I";"R027I"
"M027L";"R027L"
"M027S";"R027S"
"M17DF";"R17DF"
"M19DF";"R19DF"
"M20DF";"R20DF"
"M977B";"R977B"
"M17JA";"R17JA"
"M17JC";"R17JC"
"M17JD";"R17JD"
"M17JE";"R17JE"
"M17JF";"R17JF"
"M17JJ";"R17JJ"
