"AREA_PERIODO";"PERIODO_PRODUCAO";"DATA_INI_PERIODO";"DATA_FIM_PERIODO";"ordem";17;00
1;1701;01/01/2017;08/01/2017;0;17;01
1;1702;08/01/2017;15/01/2017;1;17;02
1;1703;15/01/2017;22/01/2017;2;17;03
1;1704;22/01/2017;29/01/2017;3;17;04
1;1705;29/01/2017;05/02/2017;4;17;05
1;1706;05/02/2017;12/02/2017;5;17;06
1;1707;12/02/2017;19/02/2017;6;17;07
1;1708;19/02/2017;26/02/2017;7;17;08
1;1709;26/02/2017;05/03/2017;8;17;09
1;1710;05/03/2017;12/03/2017;9;17;10
1;1711;12/03/2017;19/03/2017;10;17;11
1;1712;19/03/2017;26/03/2017;11;17;12
1;1713;26/03/2017;02/04/2017;12;17;13
1;1714;02/04/2017;09/04/2017;13;17;14
1;1715;09/04/2017;16/04/2017;14;17;15
1;1716;16/04/2017;23/04/2017;15;17;16
1;1717;23/04/2017;30/04/2017;16;17;17
1;1718;30/04/2017;07/05/2017;17;17;18
1;1719;07/05/2017;14/05/2017;18;17;19
1;1720;14/05/2017;21/05/2017;19;17;20
1;1721;21/05/2017;28/05/2017;20;17;21
1;1722;28/05/2017;04/06/2017;21;17;22
1;1723;04/06/2017;11/06/2017;22;17;23
1;1724;11/06/2017;18/06/2017;23;17;24
1;1725;18/06/2017;25/06/2017;24;17;25
1;1726;25/06/2017;02/07/2017;25;17;26
1;1727;02/07/2017;09/07/2017;26;17;27
1;1728;09/07/2017;16/07/2017;27;17;28
1;1729;16/07/2017;23/07/2017;28;17;29
1;1730;23/07/2017;30/07/2017;29;17;30
1;1731;30/07/2017;06/08/2017;30;17;31
1;1732;06/08/2017;13/08/2017;31;17;32
1;1733;13/08/2017;20/08/2017;32;17;33
1;1734;20/08/2017;27/08/2017;33;17;34
1;1735;27/08/2017;03/09/2017;34;17;35
1;1736;03/09/2017;10/09/2017;35;17;36
1;1737;10/09/2017;17/09/2017;36;17;37
1;1738;17/09/2017;24/09/2017;37;17;38
1;1739;24/09/2017;01/10/2017;38;17;39
1;1740;01/10/2017;08/10/2017;39;17;40
1;1741;08/10/2017;15/10/2017;40;17;41
1;1742;15/10/2017;22/10/2017;41;17;42
1;1743;22/10/2017;29/10/2017;42;17;43
1;1744;29/10/2017;05/11/2017;43;17;44
1;1745;05/11/2017;12/11/2017;44;17;45
1;1746;12/11/2017;19/11/2017;45;17;46
1;1747;19/11/2017;26/11/2017;46;17;47
1;1748;26/11/2017;03/12/2017;47;17;48
1;1749;03/12/2017;10/12/2017;48;17;49
1;1750;10/12/2017;17/12/2017;49;17;50
1;1751;17/12/2017;24/12/2017;50;17;51
1;1752;24/12/2017;31/12/2017;51;17;52
1;1753;31/12/2017;07/01/2018;52;17;53
1;1801;07/01/2018;14/01/2018;53;18;01
1;1802;14/01/2018;21/01/2018;54;18;02
1;1803;21/01/2018;28/01/2018;55;18;03
1;1804;28/01/2018;04/02/2018;56;18;04
1;1805;04/02/2018;11/02/2018;57;18;05
1;1806;11/02/2018;18/02/2018;58;18;06
1;1807;18/02/2018;25/02/2018;59;18;07
1;1808;25/02/2018;04/03/2018;60;18;08
1;1809;04/03/2018;11/03/2018;61;18;09
1;1810;11/03/2018;18/03/2018;62;18;10
1;1811;18/03/2018;25/03/2018;63;18;11
1;1812;25/03/2018;01/04/2018;64;18;12
1;1813;01/04/2018;08/04/2018;65;18;13
1;1814;08/04/2018;15/04/2018;66;18;14
1;1815;15/04/2018;22/04/2018;67;18;15
1;1816;22/04/2018;29/04/2018;68;18;16
1;1817;29/04/2018;06/05/2018;69;18;17
1;1818;06/05/2018;13/05/2018;70;18;18
1;1819;13/05/2018;20/05/2018;71;18;19
1;1820;20/05/2018;27/05/2018;72;18;20
1;1821;27/05/2018;03/06/2018;73;18;21
1;1822;03/06/2018;10/06/2018;74;18;22
1;1823;10/06/2018;17/06/2018;75;18;23
1;1824;17/06/2018;24/06/2018;76;18;24
1;1825;24/06/2018;01/07/2018;77;18;25
1;1826;01/07/2018;08/07/2018;78;18;26
1;1827;08/07/2018;15/07/2018;79;18;27
1;1828;15/07/2018;22/07/2018;80;18;28
1;1829;22/07/2018;29/07/2018;81;18;29
1;1830;29/07/2018;05/08/2018;82;18;30
1;1831;05/08/2018;12/08/2018;83;18;31
1;1832;12/08/2018;19/08/2018;84;18;32
1;1833;19/08/2018;26/08/2018;85;18;33
