"CONTA_CONTABIL";"DESCRICAO";"ORIENTACOES"
"1";"ATIVO";
"1.01";"ATIVO CIRCULANTE";
"1.01.01";"DISPONIBILIDADES";
"1.01.01.01";"CAIXA GERAL";
"1.01.01.01.01";"Caixa Matriz";"Contas que registram valores em dinheiro e em cheques em caixa, recebidos e ainda nao depositados, pagaveis irrestrita e imediatamente do estabelecimento matriz."
"1.01.01.01.02";"Caixa Filiais";"Contas que registram valores em dinheiro e em cheques em caixa, recebidos e ainda nao depositados, pagaveis irrestrita e imediatamente dos estabelecimentos filiais."
"1.01.01.02";"DEPOSITOS BANCARIOS A VISTA";
"1.01.01.02.01";"Bancos Conta Movimento-No Pais";"Contas que registram disponibilidades, mantidas em instituicoes financeiras no pais, nao classificaveis em outras contas deste plano referencial. Aplicacoes financeiras devem receber classificacao entre as contas especificas de   instrumentos financeiros, p.ex. grupo 1.01.01.05."
"1.01.01.02.02";"Bancos Conta Movimento-No Exterior";"Contas que registram disponibilidades, mantidas em instituicoes financeiras no exterior, nao classificaveis em outras contas deste plano referencial. Aplicacoes financeiras devem receber classificacao entre as contas especificas de   instrumentos financeiros, p.ex. grupo 1.01.01.09."
"1.01.01.04";"NUMERARIOS EM TRANSITO";
"1.01.01.04.01";"Numerarios em Transito";"Contas que registram valores de numerarios em transito decorrentes de remessas e/ou recebimentos para filiais, depositos ou semelhantes, por meio de cheques, ordem de pagamentos etc., ou, ainda, de clientes ou terceiros. "
"1.01.01.05";"TITULOS E VALORES MOBILIARIOS-NAO HEDGE-NO PAIS";
"1.01.01.05.01";"Titulos para Negociacao-Mensurados a Valor Justo Por Meio do Resultado (VJPR)-No Pais";"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicilio no pais, sobre os quais ha a intencao de negociacao no curto prazo ou se a mensuracao pelo valor justo diminuir ou eliminar alguma inconsistencia de mensuracao de acordo com a gestao financeira da empresa (fair value option) e ainda nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. Os derivativos utilizados como hedge devem ser registrados no grupo 1.01.01.06. "
"1.01.01.05.02";"Titulos Disponiveis para Venda-No Pais";"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicilio no pais, sobre os quais nao ha definicao de quando nem quais condicoes vai negocia-los e ainda nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. Contrapartida das alteracoes no seu valor justo, bem como custos de transacao, devem ser reconhecidos no Patrimonio Liquido ate a realizacao do ativo."
"1.01.01.05.03";"Titulos Mantidos ate o Vencimento-No Pais";"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicilio  no pais, nao derivativos, com pagamentos fixos ou determinaveis e com vencimento fixo, para os quais ha a intencao e a capacidade de se manter ate o vencimento e ainda nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. Esses titulos sao avaliados pelo metodo de custo amortizado, com os custos de transacao capitalizados ao valor do ativo. Acoes e outros titulos patrimonias nao devem receber esta classificacao. Titulos publicos e de renda fixa constumam receber esta classificacao."
"1.01.01.05.10";"Debentures emitidas por Partes Relacionadas-No Pais";"Contas que registram as debentures emitidas por empresas com sede no pais, relacionadas com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12. Independente da base de mensuracao utilizada ou se tais Valores Mobiliarios poderiam ser classificaveis em outras contas mais genericas de ativos financeiros."
"1.01.01.05.11";"Debentures Emitidas por Partes Nao Relacionadas-No Pais";"Contas que registram as debentures emitidas por empresas com sede no pais, nao relacionadas com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, independente da base de mensuracao utilizada ou se tais Valores Mobiliarios poderiam ser classificaveis em outras contas mais genericas de ativos financeiros. "
"1.01.01.05.15";"Outros Emprestimos e Recebiveis-No Pais";"Contas que registram outros emprestimos e recebiveis cuja contraparte tenha sede ou domicilio no pais e que nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. Registram-se neste grupo ativos financeiros com pagamentos fixos ou determinaveis nao cotados em um mercado ativo. Esses titulos sao avaliados pelo metodo de custo amortizado, com os custos de transacao capitalizados ao valor do ativo. Instrumentos financeiros representativos da indenizacao, decorrente da exploracao de servicos publicos, constumam receber esta classificacao(item 22, OCPC 05)."
"1.01.01.05.50";"(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP)-Valores Mobiliarios-No Pais";"Contas que registram os ajustes a valor presente efetuados sobre os ativos financeiros no pais. Referidos valores serao apropriados ao resultado pelo regime de competencia e excluidos do Lucro Real. Nao devem ser controlados em subcontas, mas na Parte B do Lalur, sendo seu montante adicionado ao Lucro Real no mesmo periodo em a receita ou resultado da operacao deva ser tributada (art.4o, Lei no 12.973/2014)."
"1.01.01.05.55";"(-) Perdas por Reducao ao Valor Recuperavel (Impairment)- Valores Mobiliarios-No Pais";"Contas que registram as perdas incorridas com base em evidencias objetivas passadas, mas posteriores ao reconhecimento inicial, impactantes no fluxo de caixa futuros estimados desses ativos financeiros. Os titulos para negociacao nao estao sujeitos a teste de 'impairment'. Esta conta tambem registra as eventuais reversoes, nao se admitindo para titulos patrimoniais. Referidos valores deverao ser adicionados ao Lucro Real, mantidos na Parte B do Lalur ate ocorrencia da alienacao ou baixa do ativo, quando poderao ser excluidos do Lucro Real (art. 32, Lei no 12.973/2014)."
"1.01.01.05.70";"Subconta-Ajuste a Valor Justo-Valores Mobiliarios-Nao Hedge -No Pais";"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros no pais, inclusive decorrentes apenas de sua mensuracao inicial ou efetuados nos objetos de hedge de valor justo. Os titulos para negociacao e disponiveis para venda devem seguir a mensuracao pelo valor justo ate sua baixa. Referidos valores  deverao ser computados na apuracao  Lucro Real quando da alienacao ou baixa do ativo(arts. 49/50,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 5/6). Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 33, ?3o, Instrucao Normativa SRF no 1.515/2014)"
"1.01.01.05.90";"Subconta-Adocao Inicial-Valores Mobiliarios-Nao Hedge-No Pais";"Contas que registram as diferencas positivas ou negativas, na data da adocao dos efeitos da Lei no 12.973/2014, entre o valor do ativo mensurado de acordo as disposicoes da Lei no 6.404/1976 e o valor mensurado pelos metodos e criterios vigentes em 31/12/2007(arts. 66/67, Lei no 12.973/2014). Conforme disciplinado art. 169, ? 9a, Instrucao Normativa SRF no 1.515/2014, cada subconta de adocao inicial deve registrar individualmente a diferenca de valor identificada em cada ativo.  Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 169, ?6o, Instrucao Normativa SRF no 1.515/2014)"
"1.01.01.06";"VALORES MOBILIARIOS-HEDGE-NO PAIS";
"1.01.01.06.01";"Derivativos-Hedge Valor Justo-No Pais";"Contas que registram os instrumentos destinados a hedge de valor justo operados em ambiente negocial no pais. Toda documentacao exigida para operar em 'Hedge Accounting' deve constar em Nota Explicativa encaminhada pela ECD."
"1.01.01.06.02";"Derivativos-Hedge Fluxo de Caixa-No Pais";"Contas que registram os instrumentos destinados a hedge de fluxo de caixa operados em ambiente negocial no pais. Toda documentacao exigida para operar em 'Hedge Accounting' deve constar em Nota Explicativa encaminhada pela ECD."
