"CODIGO_REGIAO";"NOME_REGIAO"
"0";"."
"01";"AC-ACRE"
"02";"AL-ALAGOAS"
"03";"AM-AMAZONAS"
"04";"AP-AMAPA"
"05";"BA-BAHIA"
"06";"CE-CEARA"
"07";"DF-DISTRITO FEDERAL"
"08";"ES-ESPIRITO SANTO"
"09";"GO-GOIAS"
"10";"MA-MARANHAO"
"11";"MG-MINAS GERAIS"
"12";"MS-MATO GROSSO D SUL"
"13";"MT-MATO GROSSO"
"14";"PA-PARA"
"15";"PB-PARAIBA"
"16";"PE-PERNAMBUCO"
"17";"PI-PIAUI"
"18";"PR-PARANA"
"19";"RJ-RIO DE JANEIRO"
"20";"RR-RORAIMA"
"21";"RN-RIO GRAND DO NORT"
"22";"RO-RONDONIA"
"23";"RS-RIO GRANDE DO SUL"
"24";"SC-SANTA CATARINA"
"25";"SE-SERGIPE"
"26";"SP-SAO PAULO"
"27";"TO-TOCANTINS"
"90";"EX-EXTERIOR"
