"SUB_REGIAO";"DESCRICAO";"CODIGO_REGIAO"
0;".";0
101;"ESTADO AC";1
201;"ESTADO AL";2
301;"ESTADO AM";3
401;"ESTADO AP";4
501;"BA-CAPITAL ";5
502;"BA-NORTE/LESTE";5
503;"BA-OESTE ";5
504;"BA-SUL";5
601;"CE-FORTALEZA";6
602;"CE-INTERIOR";6
701;"BRASILIA";7
801;"ESTADO ES";8
901;"ESTADO GO";9
1001;"ESTADO MA";10
1101;"MG-BELO HORIZONTE";11
1102;"MG-GRANDE BH";11
1103;"MG-GOVERN VALADARES";11
1104;"MG-NORTE";11
1105;"MG-OESTE";11
1106;"MG-SUL ";11
1107;"MG-TRIANGULO MINEIRO";11
1108;"MG-ZONA DA MATA";11
1201;"ESTADO MS";12
1301;"ESTADO MT";13
1401;"ESTADO PA";14
1501;"ESTADO PB ";15
1601;"PE-RECIFE";16
1602;"PE-INTERIOR";16
1701;"ESTADO PI";17
1801;"PR-CURITIBA";18
1802;"PR-MARINGA";18
1803;"PR-NORTE";18
1804;"PR-OESTE";18
1805;"PR-PARANA ";18
1901;"RJ-CAPITAL";19
1902;"RJ-INTERIOR";19
2001;"ESTADO RR";20
2101;"ESTADO RN";21
2201;"ESTADO RO";22
2301;"RS-GRANDE POA";23
2302;"RS-PASSO FUNDO/SERRA";23
2303;"RS-REGIAO D. MISSOES";23
2304;"RS-SERRA GAUCHA";23
2305;"RS-SUL/PELOTAS";23
2401;"SC-SUL";24
2402;"SC-NORTE";24
2403;"SC-OESTE";24
2501;"ESTADO SE";25
2601;"SP-GERENCIA VAREJO";26
2602;"SP-GRANDES CONTAS";26
2603;"SP-MEDIAS CONTAS";26
2604;"SP-ARACATUBA";26
2605;"SP-BRAS/25 DE AGOSTO";26
2606;"SP-BRAS ATACADO";26
2607;"SP-REGIAO CENTRAL";26
2608;"SP-ZONA LESTE";26
2609;"SP-ZONA NORTE";26
2610;"SP-ZONA OESTE";26
2611;"SP-ZONA SUL";26
2612;"SP-CITYCOL";26
2613;"SP-BAURU";26
2614;"SP-INTERIOR OESTE";26
2615;"SP-PIRACIC./SOROCABA";26
2616;"SP-PRESID. PRUDENTE";26
2617;"SP-RIBEIRAO PRETO";26
2618;"SP- S.JOSE RIO PRETO";26
2619;"SP-VALE DO PARAIBA";26
2620;"SP-VALE DO RIBEIRA";26
2701;"ESTADO TO";27
9101;"EX";90
