"CODIGO";"DESCRICAO"
"AM";"AMPOLA"
"BB";"BOMBONA"
"BD";"BALDE"
"BI";"BISNAGA"
"BJ";"BANDEJA"
"BL";"BLOCO"
"BO";"BOBINA"
"BR";"BARRA"
"C2";"CENTIMETRO QUADRADO"
"CE";"CENTO"
"CJ";"CONJUNTO"
"CM";"CENTIMETRO"
"CP";"CAPSULA"
"CR";"CARTELA"
"CX";"CAIXA"
"DI";"DISPLAY"
"DZ";"DUZIA"
"EM";"EMBALAGEM"
"FD";"FARDO"
"FO";"FOLHA"
"FR";"FRASCO"
"GA";"GALAO"
"GF";"GARRAFA"
"GL";"GALAO"
"GR";"GRAMAS"
"JO";"JOGO"
"KG";"QUILOGRAMA"
"KT";"KIT"
"LA";"LATA"
"LT";"LITRO"
"M2";"METRO QUADRADO"
"M3";"METRO CUBICO"
"MI";"MILHEIRO"
"ML";"MILILITRO"
"MT";"METRO"
"PA";"PACOTE"
"PC";"PECA"
"PL";"PALETE"
"PO";"PACOTE"
"PR";"PARES"
"PT";"POTE"
"RL";"ROLO"
"RM";"RESMA"
"SC";"SACO"
"SL";"SACOLA"
"TB";"TAMBOR"
"TO";"TONELADA"
"TQ";"TANQUE"
"TU";"TUBO"
"UN";"UNIDADE"
"VA";"VASILHAME"
"VI";"VIDRO"
